Refdatum,rki_7days,rki_14days,rki_28days
2020-08-28,3.7433155080213902,3.2085561497326203,2.6737967914438503
2020-08-29,3.3868092691622103,3.2085561497326203,2.6737967914438503
2020-08-30,3.7433155080213902,3.5650623885918002,2.8520499108734403
2020-08-31,4.27807486631016,3.832442067736185,3.0748663101604277
2020-09-01,5.347593582887701,4.45632798573975,3.3868092691622103
2020-09-02,5.52584670231729,4.723707664884135,3.654188948306595
2020-09-03,5.704099821746881,4.901960784313725,3.7433155080213902
2020-09-04,6.23885918003565,4.991087344028521,3.877005347593583
2020-09-05,6.59536541889483,4.991087344028521,3.9661319073083776
2020-09-06,6.4171122994652405,5.080213903743315,3.9661319073083776
2020-09-07,6.0606060606060606,5.169340463458111,4.09982174688057
2020-09-08,4.991087344028521,5.169340463458111,4.144385026737968
2020-09-09,4.09982174688057,4.81283422459893,4.055258467023172
2020-09-10,4.45632798573975,5.080213903743315,4.188948306595365
2020-09-11,4.634581105169341,5.4367201426024945,4.322638146167558
2020-09-12,4.634581105169341,5.614973262032085,4.411764705882352
2020-09-13,4.45632798573975,5.4367201426024945,4.500891265597148
2020-09-14,5.52584670231729,5.793226381461675,4.81283422459893
2020-09-15,6.0606060606060606,5.52584670231729,4.991087344028521
2020-09-16,6.23885918003565,5.169340463458111,4.946524064171123
2020-09-17,5.52584670231729,4.991087344028521,4.946524064171123
2020-09-18,6.23885918003565,5.4367201426024945,5.213903743315508
2020-09-19,6.4171122994652405,5.52584670231729,5.258467023172905
2020-09-20,6.0606060606060606,5.258467023172905,5.169340463458111
2020-09-21,7.1301247771836005,6.327985739750445,5.7486631016042775
2020-09-22,7.30837789661319,6.684491978609625,5.926916221033868
2020-09-23,7.8431372549019605,7.040998217468806,5.926916221033868
2020-09-24,9.982174688057041,7.754010695187166,6.4171122994652405
2020-09-25,9.62566844919786,7.932263814616755,6.684491978609625
2020-09-26,10.33868092691622,8.37789661319073,6.996434937611408
2020-09-27,11.94295900178253,9.001782531194296,7.219251336898395
2020-09-28,11.05169340463458,9.09090909090909,7.442067736185383
2020-09-29,11.22994652406417,9.269162210338681,7.397504456327986
2020-09-30,12.121212121212121,9.982174688057041,7.575757575757575
2020-10-01,11.22994652406417,10.606060606060606,7.798573975044563
2020-10-02,13.36898395721925,11.497326203208555,8.467023172905526
2020-10-03,16.0427807486631,13.19073083778966,9.358288770053475
2020-10-04,16.22103386809269,14.081996434937611,9.670231729055258
2020-10-05,18.003565062388592,14.527629233511586,10.427807486631016
2020-10-06,23.52941176470588,17.379679144385026,12.032085561497325
2020-10-07,25.31194295900178,18.71657754010695,12.878787878787879
2020-10-08,26.7379679144385,18.983957219251337,13.36898395721925
2020-10-09,28.69875222816399,21.03386809269162,14.483065953654188
2020-10-10,27.094474153297682,21.56862745098039,14.973262032085561
2020-10-11,28.163992869875223,22.192513368983956,15.597147950089125
2020-10-12,27.45098039215686,22.727272727272727,15.909090909090908
2020-10-13,27.629233511586452,25.579322638146166,17.424242424242422
2020-10-14,30.83778966131907,28.074866310160427,19.028520499108733
2020-10-15,38.68092691622103,32.70944741532977,21.657754010695186
2020-10-16,43.49376114081996,36.096256684491976,23.796791443850267
2020-10-17,48.84135472370766,37.967914438502675,25.579322638146166
2020-10-18,51.515151515151516,39.839572192513366,26.96078431372549
2020-10-19,58.64527629233511,43.04812834224599,28.787878787878785
2020-10-20,68.27094474153297,47.95008912655971,32.66488413547237
2020-10-21,75.40106951871657,53.11942959001782,35.918003565062385
2020-10-22,80.92691622103386,59.803921568627445,39.39393939393939
2020-10-23,81.46167557932263,62.4777183600713,41.755793226381456
2020-10-24,85.20499108734403,67.02317290552584,44.29590017825312
2020-10-25,87.87878787878788,69.69696969696969,45.94474153297683
2020-10-26,97.32620320855614,77.98573975044563,50.356506238859176
2020-10-27,100.71301247771835,84.49197860962565,55.035650623885914
2020-10-28,113.01247771836006,94.20677361853832,61.140819964349376
2020-10-29,118.89483065953654,99.9108734402852,66.31016042780749
2020-10-30,136.18538324420678,108.8235294117647,72.45989304812834
2020-10-31,139.75044563279857,112.4777183600713,75.22281639928698
2020-11-01,142.602495543672,115.24064171122994,77.54010695187165
2020-11-02,155.2584670231729,126.29233511586452,84.67023172905526
2020-11-03,164.5276292335116,132.62032085561498,90.28520499108734
2020-11-04,167.02317290552583,140.01782531194294,96.56862745098039
2020-11-05,167.37967914438502,143.13725490196077,101.47058823529412
2020-11-06,162.92335115864526,149.554367201426,106.01604278074866
2020-11-07,161.14081996434936,150.44563279857397,108.73440285204991
