GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2020;71-Jährige;110970;132105;33715;27253;6984;15698;66643;18660;88231;186609;46884;12999;48610;27216;32419;26251
31.12.2020;72-Jährige;101277;124447;30630;23317;6440;15171;62012;15932;80989;168688;39912;11001;38742;22701;31325;22424
31.12.2020;73-Jährige;93270;120466;28516;21948;6133;14415;57523;14589;72831;153681;35104;8931;38282;22022;28793;21184
31.12.2020;74-Jährige;80408;104622;21931;14670;5900;13133;48490;9620;67032;138946;30820;7104;28403;17458;26654;17166
31.12.2020;75-Jährige;68157;83363;24325;17163;4614;11637;39741;10177;52150;115196;25551;6449;33043;17569;21608;16009
31.12.2020;76-Jährige;87529;106677;31525;25330;5665;14420;52362;14984;68832;147124;33032;8616;47454;24188;28309;22950
31.12.2020;77-Jährige;87236;104910;33071;26743;5867;14385;51095;16032;69879;145033;32351;8249;46250;24563;28821;22573
31.12.2020;78-Jährige;84659;100096;30575;25478;5749;13662;47755;15164;66448;138131;30909;7949;42151;23788;27087;20744
31.12.2020;79-Jährige;99761;119051;34497;30669;6316;15321;56059;18834;78788;161071;37642;10025;50869;28184;31938;25851
31.12.2020;80-Jährige;101465;122919;31884;29793;6371;15384;58140;18334;79569;168364;39557;10043;50632;27790;31281;26933
31.12.2020;81-Jährige;96990;117332;28919;28001;6009;14170;54864;17892;75253;160008;37437;9988;47715;25909;29819;25146
31.12.2020;82-Jährige;86633;101410;25900;24501;5572;12868;48233;15914;68684;144558;33395;8729;41276;22148;26723;20914
31.12.2020;83-Jährige;76392;87825;22976;21479;4831;11524;42457;13634;59798;129066;29663;8358;35874;19409;23302;17876
31.12.2020;84-Jährige;69118;78089;20741;19693;4429;10430;38564;12427;53062;116198;26927;7702;32871;17527;20598;16293
31.12.2020;85-Jährige;61271;68325;18463;17582;3805;9346;33718;11112;47106;103642;23727;6465;29887;15749;18012;14360
31.12.2020;86-Jährige;50744;57834;15817;14568;3264;7518;28466;9445;39324;88677;20046;5090;25318;13289;14850;12145
31.12.2020;87-Jährige;38312;43512;10243;10105;2244;5301;20549;6791;27702;62723;14619;3985;17717;9317;9953;8377
31.12.2020;88-Jährige;33330;38699;8576;8811;1938;4580;18106;6091;24439;55507;12764;3583;15081;8137;8488;7415
31.12.2020;89-Jährige;29520;33392;7694;7667;1749;4168;15998;5061;22048;49406;11429;3179;13748;7079;7715;6428
31.12.2020;90 Jahre und mehr;108225;122252;30029;26464;7160;17250;62984;16715;83231;184859;43862;10966;51868;24957;29586;23283
31.12.2020;Insgesamt;11103043;13140183;3664088;2531071;680130;1852478;6293154;1610774;8003421;17925570;4098391;983991;4056941;2180684;2910875;2120237
